type,subtype,connotation,gender,word,corresponding_english_term
identity,sexuality,toxic,m,bicha,queer
identity,sexuality,toxic,n,gay,gay
identity,sexuality,toxic,m,baitola,fag
identity,sexuality,toxic,m,puto,putão,fag
identity,sexuality,toxic,f,puta,vadia,slut
identity,sexuality,toxic,f,sapatao,dyke
identity,sexuality,toxic,m,viado,queer
identity,sexuality,toxic,m,entendido,bicurious
identity,sexuality,toxic,f,entendida,bicurious
identity,sexuality,toxic,m,almofadinha,queer
identity,sexuality,toxic,n,gilete,bissexual
